,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684.0,1.0,-0.12668838,-0.15308645,0.56952,-0.09898102,0.48772216,0.0690076,0.7686954,-0.21050571,-0.20980062,-0.59500223,-0.5202197,-0.018112902,-0.9067977,-0.41789937,0.048177734,3.142081,0.46206865,-0.19055122,0.054475363
1,588141.0,1.0,-0.51846266,-0.59191835,-1.2723373,-0.09037864,-0.1359631,0.065303385,-0.6949029,-0.61758524,-0.29197693,-1.2442966,-0.8868152,-0.20140612,-0.888296,-0.7239298,0.0734724,0.5319133,-0.31866512,-0.55261296,0.16265099
2,588646.0,1.0,0.108992964,-0.72555023,1.1735141,-0.045213707,1.6055322,0.07187459,1.5807632,-0.015245948,0.084636085,-0.9185699,-0.71412164,-0.22696564,-0.07487252,-0.5651198,0.047606878,0.44924334,-0.36788172,-0.1340397,0.03425012
3,588448.0,1.0,-0.5467012,-1.0770612,-0.3574851,-0.05525685,-0.49413875,0.07126504,-0.36007008,-0.67880124,0.014592553,-0.401001,-0.32235977,-0.17274533,-0.16752431,-0.13265885,0.05860965,1.8514916,-1.0709642,-0.508526,0.09806742
4,1583.0,1.0,-0.32405576,-0.669615,-0.72182775,0.13429707,-0.41549635,0.07133028,0.08176665,-1.2137282,0.4706195,0.5978486,0.44199654,-0.07781849,0.2701188,0.25058857,0.16103955,0.5322867,-1.1281,-0.43940297,0.046756234
5,588459.0,1.0,-0.42104492,-0.88318044,0.29097557,-0.030385265,-1.2453725,0.07016492,0.94944495,-0.21450849,-0.1700104,-0.503237,0.26687312,-0.07337635,-0.5008056,0.19702424,0.068841025,2.6410236,-0.61765546,-0.18615927,0.120701544
6,588378.0,1.0,-0.2711808,-0.8134374,-1.4290997,-0.09046114,-1.5223774,0.068991095,0.10512182,-0.8128696,-0.44669056,-0.20824249,-0.24752668,-0.21842282,-1.2808326,-0.25252166,0.06098543,0.6129422,-0.83201504,-0.48304218,0.027783962
7,588144.0,1.0,-0.37776887,-0.80716836,-1.0036919,-0.10950087,-0.23193368,0.06864222,1.2351295,-0.26884186,-0.50559175,-1.2782953,-0.9351835,-0.14351898,-1.0768044,-0.5379861,0.06966356,1.6534487,-0.6271367,-0.38945076,0.124264926
8,588393.0,1.0,-0.48437446,-0.2501086,-1.3738124,-0.07867065,-0.8696416,0.07190853,0.17226554,0.18940862,-0.21108663,0.13421479,-0.19507897,-0.21440178,-1.1209085,-0.75825787,0.07366376,1.4657011,0.79910845,-0.06820661,0.02220996
9,588325.0,1.0,0.014162805,-0.5704909,-1.4550807,-0.10015849,-0.97389185,0.06864457,0.55857784,-0.866877,-0.4417385,-1.3746699,-0.8924937,-0.24258673,-1.3345731,-0.7859344,0.062104635,0.6902589,-0.71443504,-0.47001275,0.004153269
10,588324.0,1.0,-0.19849981,-0.40202606,-1.279044,-0.09296464,-0.9196983,0.06855044,0.31939647,-0.3801242,-0.37013978,-0.99263793,-0.77284086,-0.24100032,-1.1134481,-0.78177994,0.05209085,-0.40705657,0.48038822,-0.34756047,0.012200058
